0.25 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.50 12.11 10.16 8.98 9.38 9.77 10.94 9.38 12.50 11.33 10.94 12.11 0.00 
0.75 19.92 20.31 21.88 21.88 20.70 22.66 22.07 20.70 20.12 20.70 21.68 0.00 
1.00 30.73 30.34 30.47 30.47 28.52 29.69 28.52 29.30 29.69 27.21 29.43 0.00 
1.25 36.72 37.21 37.70 34.86 36.33 36.04 38.09 37.40 37.70 37.89 37.11 0.00 
1.50 44.38 42.58 41.48 44.45 43.05 43.20 43.44 42.11 42.42 43.59 40.94 0.00 
1.75 49.15 48.44 47.98 49.28 49.41 48.24 48.31 47.53 48.44 48.24 47.40 0.00 
2.00 52.85 53.18 53.24 52.68 53.52 52.68 52.96 52.40 52.68 53.35 51.79 0.00 
2.25 57.32 56.84 56.45 56.88 57.32 56.84 56.40 56.74 56.84 56.40 57.42 0.00 
2.50 59.46 59.64 60.03 59.85 59.90 60.76 59.85 60.76 61.11 59.81 61.02 0.00 
